Nr. SISF,Rangstufe,Taxonname,Gattung,Spezies,Familie,Indigenat CH,Grenzgebiet,Ist Teil von: Taxonname,Ist Teil von: Nr. SISF
97850,sp,Celtis occidentalis L.,Celtis,occidentalis,Cannabaceae,NC,,,
98400,sp,Centaurea calcitrapa L.,Centaurea,calcitrapa,Asteraceae,A,,,
98500,sp,Centaurea cyanus L.,Centaurea,cyanus,Asteraceae,I,,,
98550,sp,Centaurea decipiens Thuill.,Centaurea,decipiens,Asteraceae,I,,Centaurea jacea aggr.,99030
98600,sp,Centaurea diffusa Lam.,Centaurea,diffusa,Asteraceae,N,,,
98750,sp,Centaurea jacea L.,Centaurea,jacea,Asteraceae,I,,Centaurea jacea aggr.,99030
98800,subsp,Centaurea jacea L. subsp. jacea,Centaurea,jacea,Asteraceae,I,,Centaurea jacea L.,98750
98900,subsp,Centaurea jacea subsp. angustifolia Gremli,Centaurea,jacea,Asteraceae,I,,Centaurea jacea L.,98750
99000,subsp,Centaurea jacea subsp. gaudinii (Boiss. & Reut.) Gremli,Centaurea,jacea,Asteraceae,I,,Centaurea jacea L.,98750
99030,aggr,Centaurea jacea aggr.,Centaurea,jacea,Asteraceae,I,,,
99200,sp,Centaurea montana L.,Centaurea,montana,Asteraceae,I,,,
99300,sp,Centaurea nemoralis Jord.,Centaurea,nemoralis,Asteraceae,I,,Centaurea jacea aggr.,99030
99400,sp,Centaurea nervosa Willd.,Centaurea,nervosa,Asteraceae,I,,,
99450,subsp (single),Centaurea nervosa Willd. subsp. nervosa,Centaurea,nervosa,Asteraceae,I,,Centaurea nervosa Willd.,99400
99470,sp,Centaurea nigra L.,Centaurea,nigra,Asteraceae,,x,Centaurea jacea aggr.,99030
99600,sp,Centaurea nigrescens Willd.,Centaurea,nigrescens,Asteraceae,I,,Centaurea jacea aggr.,99030
99700,sp,Centaurea paniculata L.,Centaurea,paniculata,Asteraceae,N,,Centaurea paniculata aggr.,99705
99705,aggr,Centaurea paniculata aggr.,Centaurea,paniculata,Asteraceae,I/N,,,
99800,sp,Centaurea pseudophrygia C. A. Mey.,Centaurea,pseudophrygia,Asteraceae,I,,,
99900,sp,Centaurea rhaetica Moritzi,Centaurea,rhaetica,Asteraceae,I,,,
99995,sp,Centaurea scabiosa L.,Centaurea,scabiosa,Asteraceae,I,,,
100000,subsp,Centaurea scabiosa L. subsp. scabiosa,Centaurea,scabiosa,Asteraceae,I,,Centaurea scabiosa L.,99995
100100,subsp,Centaurea scabiosa subsp. alpestris (Hegetschw.) Nyman,Centaurea,scabiosa,Asteraceae,I,,Centaurea scabiosa L.,99995
100200,subsp,Centaurea scabiosa subsp. grinensis (Reut.) Nyman,Centaurea,scabiosa,Asteraceae,I,,Centaurea scabiosa L.,99995
100500,sp,Centaurea solstitialis L.,Centaurea,solstitialis,Asteraceae,N,,,
100600,sp,Centaurea splendens L.,Centaurea,splendens,Asteraceae,I,,,
100650,sp,Centaurea stoebe L.,Centaurea,stoebe,Asteraceae,I,,Centaurea paniculata aggr.,99705
100651,subsp,Centaurea stoebe L. subsp. stoebe,Centaurea,stoebe,Asteraceae,I,,Centaurea stoebe L.,100650
100655,subsp,Centaurea stoebe subsp. australis (A. Kern.) Greuter,Centaurea,stoebe,Asteraceae,N,,Centaurea stoebe L.,100650
100900,sp,Centaurea triumfettii All.,Centaurea,triumfettii,Asteraceae,I,,,
101000,sp,Centaurea uniflora Turra,Centaurea,uniflora,Asteraceae,,x,,
101100,sp,Centaurea valesiaca (DC.) Jord.,Centaurea,valesiaca,Asteraceae,I,,Centaurea paniculata aggr.,99705
101200,sp,Centaurium erythraea Rafn,Centaurium,erythraea,Gentianaceae,I,,,
101300,sp,Centaurium pulchellum (Sw.) Druce,Centaurium,pulchellum,Gentianaceae,I,,,
101500,sp,Centranthus angustifolius (Mill.) DC.,Centranthus,angustifolius,Caprifoliaceae,I,,,
101550,sp,Centranthus calcitrapae (L.) Dufr.,Centranthus,calcitrapae,Caprifoliaceae,,x,,
101600,sp,Centranthus ruber (L.) DC.,Centranthus,ruber,Caprifoliaceae,N,,,
101800,sp,Cephalanthera damasonium (Mill.) Druce,Cephalanthera,damasonium,Orchidaceae,I,,,
101900,sp,Cephalanthera longifolia (L.) Fritsch,Cephalanthera,longifolia,Orchidaceae,I,,,
102000,sp,Cephalanthera rubra (L.) Rich.,Cephalanthera,rubra,Orchidaceae,I,,,
102100,sp,Cephalaria alpina (L.) Roem. & Schult.,Cephalaria,alpina,Caprifoliaceae,I,,,
102150,sp,Cephalaria gigantea (Ledeb.) Bobrov,Cephalaria,gigantea,Caprifoliaceae,N,,,
102200,sp,Cerastium alpinum L.,Cerastium,alpinum,Caryophyllaceae,I,,,
102595,sp,Cerastium arvense L.,Cerastium,arvense,Caryophyllaceae,I,,,
102600,subsp,Cerastium arvense L. subsp. arvense,Cerastium,arvense,Caryophyllaceae,I,,Cerastium arvense L.,102595
102700,subsp,Cerastium arvense subsp. strictum (W. D. J. Koch) Schinz & R. Keller,Cerastium,arvense,Caryophyllaceae,I,,Cerastium arvense L.,102595
102800,subsp,Cerastium arvense subsp. suffruticosum (L.) Ces.,Cerastium,arvense,Caryophyllaceae,I,,Cerastium arvense L.,102595
102900,sp,Cerastium austroalpinum Kunz,Cerastium,austroalpinum,Caryophyllaceae,I,,,
102950,sp,Cerastium brachypetalum Pers.,Cerastium,brachypetalum,Caryophyllaceae,I,,,
103000,subsp,Cerastium brachypetalum Pers. subsp. brachypetalum,Cerastium,brachypetalum,Caryophyllaceae,I,,Cerastium brachypetalum Pers.,102950
103100,subsp,Cerastium brachypetalum subsp. tenoreanum (Ser.) Soó,Cerastium,brachypetalum,Caryophyllaceae,I,,Cerastium brachypetalum Pers.,102950
103400,sp,Cerastium cerastoides (L.) Britton,Cerastium,cerastoides,Caryophyllaceae,I,,,
103500,sp,Cerastium dubium (Bastard) Guépin,Cerastium,dubium,Caryophyllaceae,,x,,
103595,sp,Cerastium fontanum Baumg.,Cerastium,fontanum,Caryophyllaceae,I,,,
103600,subsp,Cerastium fontanum Baumg. subsp. fontanum,Cerastium,fontanum,Caryophyllaceae,I,,Cerastium fontanum Baumg.,103595
103700,subsp,Cerastium fontanum subsp. lucorum (Schur) Soó,Cerastium,fontanum,Caryophyllaceae,I,,Cerastium fontanum Baumg.,103595
103800,subsp,Cerastium fontanum subsp. vulgare (Hartm.) Greuter & Burdet,Cerastium,fontanum,Caryophyllaceae,I,,Cerastium fontanum Baumg.,103595
103900,sp,Cerastium glomeratum Thuill.,Cerastium,glomeratum,Caryophyllaceae,I,,,
104000,sp,Cerastium glutinosum Fr.,Cerastium,glutinosum,Caryophyllaceae,I,,Cerastium pumilum aggr.,104750
104200,sp,Cerastium latifolium L.,Cerastium,latifolium,Caryophyllaceae,I,,,
104300,sp,Cerastium ligusticum Viv.,Cerastium,ligusticum,Caryophyllaceae,N,,,
104350,subsp (single),Cerastium ligusticum Viv. subsp. ligusticum,Cerastium,ligusticum,Caryophyllaceae,N,,Cerastium ligusticum Viv.,104300
104400,sp,Cerastium lineare All.,Cerastium,lineare,Caryophyllaceae,,x,,
104600,sp,Cerastium pedunculatum Gaudin,Cerastium,pedunculatum,Caryophyllaceae,I,,,
104700,sp,Cerastium pumilum Curtis,Cerastium,pumilum,Caryophyllaceae,I,,Cerastium pumilum aggr.,104750
104750,aggr,Cerastium pumilum aggr.,Cerastium,pumilum,Caryophyllaceae,I,,,
104800,sp,Cerastium semidecandrum L.,Cerastium,semidecandrum,Caryophyllaceae,I,,,
105200,sp,Cerastium tomentosum L.,Cerastium,tomentosum,Caryophyllaceae,N,,,
105400,sp,Cerastium uniflorum Clairv.,Cerastium,uniflorum,Caryophyllaceae,I,,,
105500,sp,Ceratophyllum demersum L.,Ceratophyllum,demersum,Ceratophyllaceae,I,,,
105600,sp,Ceratophyllum submersum L.,Ceratophyllum,submersum,Ceratophyllaceae,I,,,
105630,sp,Ceratostigma plumbaginoides Bunge,Ceratostigma,plumbaginoides,Plumbaginaceae,N,,,
105650,sp,Cercis siliquastrum L.,Cercis,siliquastrum,Fabaceae,N,,,
105700,sp,Cerinthe glabra Mill.,Cerinthe,glabra,Boraginaceae,I,,,
105900,sp,Cerinthe minor L.,Cerinthe,minor,Boraginaceae,N,,,
105930,subsp,Cerinthe minor L. subsp. minor,Cerinthe,minor,Boraginaceae,N,,Cerinthe minor L.,105900
105960,subsp,Cerinthe minor subsp. auriculata (Ten.) Rouy,Cerinthe,minor,Boraginaceae,,x,Cerinthe minor L.,105900
106050,sp,Chaenomeles japonica (Thunb.) Spach,Chaenomeles,japonica,Rosaceae,NC,,,
106100,sp,Chaenorrhinum minus (L.) Lange,Chaenorrhinum,minus,Plantaginaceae,I,,,
106130,subsp (single),Chaenorrhinum minus (L.) Lange subsp. minus,Chaenorrhinum,minus,Plantaginaceae,I,,Chaenorrhinum minus (L.) Lange,106100
106170,sp,Chaenostoma cordatum (Thunb.) Benth.,Chaenostoma,cordatum,Scrophulariaceae,,x,,
106200,sp,Chaerophyllum aureum L.,Chaerophyllum,aureum,Apiaceae,I,,,
106300,sp,Chaerophyllum bulbosum L.,Chaerophyllum,bulbosum,Apiaceae,AC,,,
106600,sp,Chaerophyllum elegans Gaudin,Chaerophyllum,elegans,Apiaceae,I,,Chaerophyllum hirsutum aggr.,106705
106700,sp,Chaerophyllum hirsutum L.,Chaerophyllum,hirsutum,Apiaceae,I,,Chaerophyllum hirsutum aggr.,106705
106705,aggr,Chaerophyllum hirsutum aggr.,Chaerophyllum,hirsutum,Apiaceae,I,,,
107000,sp,Chaerophyllum temulum L.,Chaerophyllum,temulum,Apiaceae,I,,,
107100,sp,Chaerophyllum villarsii W. D. J. Koch,Chaerophyllum,villarsii,Apiaceae,I,,Chaerophyllum hirsutum aggr.,106705
107150,sp,Chamaecyparis lawsoniana (A. Murray bis) Parl.,Chamaecyparis,lawsoniana,Cupressaceae,N,,,
107200,sp,Chamaecytisus hirsutus (L.) Link,Chamaecytisus,hirsutus,Fabaceae,I,,Chamaecytisus hirsutus aggr.,107270
107250,subsp (single),Chamaecytisus hirsutus (L.) Link subsp. hirsutus,Chamaecytisus,hirsutus,Fabaceae,I,,Chamaecytisus hirsutus (L.) Link,107200
107270,aggr,Chamaecytisus hirsutus aggr.,Chamaecytisus,hirsutus,Fabaceae,I,,,
107300,sp,Chamaecytisus purpureus (Scop.) Link,Chamaecytisus,purpureus,Fabaceae,,x,Chamaecytisus hirsutus aggr.,107270
107400,sp,Chamaecytisus supinus (L.) Link,Chamaecytisus,supinus,Fabaceae,I,,Chamaecytisus hirsutus aggr.,107270
107500,sp,Chamaemelum nobile (L.) All.,Chamaemelum,nobile,Asteraceae,,x,,
107700,sp,Chamorchis alpina (L.) Rich.,Chamorchis,alpina,Orchidaceae,I,,,
107800,sp,Cheilanthes acrostica (Balb.) Tod.,Cheilanthes,acrostica,Pteridaceae,,x,,
108200,sp,Chelidonium majus L.,Chelidonium,majus,Papaveraceae,I,,,
108300,sp,Chenopodium album L.,Chenopodium,album,Amaranthaceae,A,,Chenopodium album aggr.,108330
108330,aggr,Chenopodium album aggr.,Chenopodium,album,Amaranthaceae,A/N,,,
108350,sp,Chenopodium ambrosioides L.,Chenopodium,ambrosioides,Amaranthaceae,N,,,
108370,sp,Chenopodium berlandieri Moq.,Chenopodium,berlandieri,Amaranthaceae,N,,Chenopodium album aggr.,108330
108500,sp,Chenopodium bonus-henricus L.,Chenopodium,bonus-henricus,Amaranthaceae,I,,,
108600,sp,Chenopodium botrys L.,Chenopodium,botrys,Amaranthaceae,A,,,
108750,sp,Chenopodium chenopodioides (L.) Aellen,Chenopodium,chenopodioides,Amaranthaceae,N,,,
108900,sp,Chenopodium ficifolium Sm.,Chenopodium,ficifolium,Amaranthaceae,A,,,
109050,sp,Chenopodium giganteum D. Don,Chenopodium,giganteum,Amaranthaceae,N,,Chenopodium album aggr.,108330
109100,sp,Chenopodium glaucum L.,Chenopodium,glaucum,Amaranthaceae,A,,,
109200,sp,Chenopodium hircinum Schrad.,Chenopodium,hircinum,Amaranthaceae,N,,,
109300,sp,Chenopodium hybridum L.,Chenopodium,hybridum,Amaranthaceae,A,,,
109400,sp,Chenopodium murale L.,Chenopodium,murale,Amaranthaceae,I,,,
109500,sp,Chenopodium opulifolium Schrad.,Chenopodium,opulifolium,Amaranthaceae,A,,Chenopodium album aggr.,108330
109600,sp,Chenopodium polyspermum L.,Chenopodium,polyspermum,Amaranthaceae,A,,,
109700,sp,Chenopodium pratericola Rydb.,Chenopodium,pratericola,Amaranthaceae,N,,Chenopodium album aggr.,108330
109750,sp,Chenopodium pumilio R. Br.,Chenopodium,pumilio,Amaranthaceae,N,,,
109800,sp,Chenopodium rubrum L.,Chenopodium,rubrum,Amaranthaceae,A,,,
109900,sp,Chenopodium strictum Roth,Chenopodium,strictum,Amaranthaceae,N,,Chenopodium album aggr.,108330
109950,sp,Chenopodium suecicum Murr,Chenopodium,suecicum,Amaranthaceae,I,,Chenopodium album aggr.,108330
110000,sp,Chenopodium urbicum L.,Chenopodium,urbicum,Amaranthaceae,A,,,
110100,sp,Chenopodium vulvaria L.,Chenopodium,vulvaria,Amaranthaceae,A,,,
110200,sp,Chimaphila umbellata (L.) W. P. C. Barton,Chimaphila,umbellata,Ericaceae,I,,,
110300,sp,Chondrilla chondrilloides (Ard.) H. Karst.,Chondrilla,chondrilloides,Asteraceae,I,,,
110400,sp,Chondrilla juncea L.,Chondrilla,juncea,Asteraceae,I,,,
110550,sp,Chorispora tenella (Pall.) DC.,Chorispora,tenella,Brassicaceae,N,,,
112400,sp,Chrysopogon gryllus (L.) Trin.,Chrysopogon,gryllus,Poaceae,I,,,
112500,sp,Chrysosplenium alternifolium L.,Chrysosplenium,alternifolium,Saxifragaceae,I,,,
112600,sp,Chrysosplenium oppositifolium L.,Chrysosplenium,oppositifolium,Saxifragaceae,I,,,
112700,sp,Cicer arietinum L.,Cicer,arietinum,Fabaceae,N,,,
112800,sp,Cicerbita alpina (L.) Wallr.,Cicerbita,alpina,Asteraceae,I,,,
112900,sp,Cicerbita macrophylla (Willd.) Wallr.,Cicerbita,macrophylla,Asteraceae,N,,,
113000,sp,Cicerbita plumieri (L.) Kirschl.,Cicerbita,plumieri,Asteraceae,I,,,
113100,sp,Cichorium endivia L.,Cichorium,endivia,Asteraceae,AC,,,
113200,sp,Cichorium intybus L.,Cichorium,intybus,Asteraceae,A,,,
113300,sp,Cicuta virosa L.,Cicuta,virosa,Apiaceae,I,,,
113350,sp,Cinnamomum glanduliferum (Wall.) Meisn.,Cinnamomum,glanduliferum,Lauraceae,N,,,
113400,sp,Circaea alpina L.,Circaea,alpina,Onagraceae,I,,,
113500,sp,Circaea lutetiana L.,Circaea,lutetiana,Onagraceae,I,,,
113600,hybrid,Circaea ×intermedia Ehrh.,Circaea,×intermedia,Onagraceae,I,,,
113700,sp,Cirsium acaule Scop.,Cirsium,acaule,Asteraceae,I,,,
113800,sp,Cirsium arvense (L.) Scop.,Cirsium,arvense,Asteraceae,I,,,
113900,sp,Cirsium canum (L.) All.,Cirsium,canum,Asteraceae,I,,,
114000,sp,Cirsium eriophorum (L.) Scop.,Cirsium,eriophorum,Asteraceae,I,,,
114100,subsp,Cirsium eriophorum (L.) Scop. subsp. eriophorum,Cirsium,eriophorum,Asteraceae,I,,Cirsium eriophorum (L.) Scop.,114000
114200,subsp,Cirsium eriophorum subsp. spathulatum (Moretti) Ces.,Cirsium,eriophorum,Asteraceae,I,,Cirsium eriophorum (L.) Scop.,114000
114300,sp,Cirsium erisithales (Jacq.) Scop.,Cirsium,erisithales,Asteraceae,I,,,
114400,sp,Cirsium helenioides (L.) Hill,Cirsium,helenioides,Asteraceae,I,,,
114600,sp,Cirsium monspessulanum (L.) Hill,Cirsium,monspessulanum,Asteraceae,,x,,
114700,sp,Cirsium montanum (Willd.) Spreng.,Cirsium,montanum,Asteraceae,I,,,
114800,sp,Cirsium oleraceum (L.) Scop.,Cirsium,oleraceum,Asteraceae,I,,,
114900,sp,Cirsium palustre (L.) Scop.,Cirsium,palustre,Asteraceae,I,,,
115000,sp,Cirsium pannonicum (L. f.) Link,Cirsium,pannonicum,Asteraceae,,x,,
115100,sp,Cirsium rivulare (Jacq.) All.,Cirsium,rivulare,Asteraceae,I,,,
115300,sp,Cirsium spinosissimum (L.) Scop.,Cirsium,spinosissimum,Asteraceae,I,,,
115400,sp,Cirsium tuberosum (L.) All.,Cirsium,tuberosum,Asteraceae,I,,,
115500,sp,Cirsium vulgare (Savi) Ten.,Cirsium,vulgare,Asteraceae,I,,,
115600,sp,Cistus salviifolius L.,Cistus,salviifolius,Cistaceae,I,,,
115650,sp,Citrullus lanatus (Thunb.) Matsum. & Nakai,Citrullus,lanatus,Cucurbitaceae,N,,,
115700,sp,Cladium mariscus (L.) Pohl,Cladium,mariscus,Cyperaceae,I,,,
115800,sp,Claytonia perfoliata Willd.,Claytonia,perfoliata,Montiaceae,N,,,
115900,sp,Cleistogenes serotina (L.) Keng,Cleistogenes,serotina,Poaceae,I,,,
116000,sp,Clematis alpina (L.) Mill.,Clematis,alpina,Ranunculaceae,I,,,
116200,sp,Clematis integrifolia L.,Clematis,integrifolia,Ranunculaceae,NC,,,
116300,sp,Clematis recta L.,Clematis,recta,Ranunculaceae,I,,,
116350,sp,Clematis tangutica (Maxim.) Korsh.,Clematis,tangutica,Ranunculaceae,N,,,
116400,sp,Clematis vitalba L.,Clematis,vitalba,Ranunculaceae,I,,,
116500,sp,Clematis viticella L.,Clematis,viticella,Ranunculaceae,NC,,,
116550,sp,Clerodendrum trichotomum Thunb.,Clerodendrum,trichotomum,Lamiaceae,N,,,
116600,sp,Clinopodium vulgare L.,Clinopodium,vulgare,Lamiaceae,I,,,
116650,subsp (single),Clinopodium vulgare L. subsp. vulgare,Clinopodium,vulgare,Lamiaceae,I,,Clinopodium vulgare L.,116600
116700,sp,Clypeola jonthlaspi L.,Clypeola,jonthlaspi,Brassicaceae,I,,,
116900,sp,Cnidium silaifolium (Jacq.) Simonk.,Cnidium,silaifolium,Apiaceae,I,,,
116950,sp,Cochlearia danica L.,Cochlearia,danica,Brassicaceae,N,,,
117000,sp,Cochlearia officinalis L.,Cochlearia,officinalis,Brassicaceae,N,,,
117100,sp,Cochlearia pyrenaica DC.,Cochlearia,pyrenaica,Brassicaceae,I,,,
117150,subsp (single),Cochlearia pyrenaica DC. subsp. pyrenaica,Cochlearia,pyrenaica,Brassicaceae,I,,Cochlearia pyrenaica DC.,117100
117200,sp,Coeloglossum viride (L.) Hartm.,Coeloglossum,viride,Orchidaceae,I,,,
117250,sp,Coincya cheiranthos (Vill.) Greuter & Burdet,Coincya,cheiranthos,Brassicaceae,I,,,
117500,sp,Coincya richeri (Vill.) Greuter & Burdet,Coincya,richeri,Brassicaceae,,x,,
117600,sp,Colchicum alpinum DC.,Colchicum,alpinum,Colchicaceae,I,,,
117700,sp,Colchicum autumnale L.,Colchicum,autumnale,Colchicaceae,I,,,
117900,sp,Coleostephus myconis (L.) Rchb. f.,Coleostephus,myconis,Asteraceae,NC,,,
118050,sp,Collomia linearis Nutt.,Collomia,linearis,Polemoniaceae,N,,,
118100,sp,Colutea arborescens L.,Colutea,arborescens,Fabaceae,I,,,
118130,subsp,Colutea arborescens L. subsp. arborescens,Colutea,arborescens,Fabaceae,I,,Colutea arborescens L.,118100
118160,subsp,Colutea arborescens subsp. gallica Browicz,Colutea,arborescens,Fabaceae,I,,Colutea arborescens L.,118100
118300,sp,Commelina communis L.,Commelina,communis,Commelinaceae,N,,,
118400,sp,Conium maculatum L.,Conium,maculatum,Apiaceae,A,,,
118450,sp,Conopodium majus (Gouan) Loret,Conopodium,majus,Apiaceae,,x,,
118500,sp,Conringia orientalis (L.) Dumort.,Conringia,orientalis,Brassicaceae,N,,,
118600,sp,Consolida ajacis (L.) Schur,Consolida,ajacis,Ranunculaceae,N,,,
118700,sp,Consolida regalis Gray,Consolida,regalis,Ranunculaceae,A,,,
118750,subsp (single),Consolida regalis Gray subsp. regalis,Consolida,regalis,Ranunculaceae,I,,Consolida regalis Gray,118700
118800,sp,Convallaria majalis L.,Convallaria,majalis,Asparagaceae,I,,,
118900,sp,Convolvulus arvensis L.,Convolvulus,arvensis,Convolvulaceae,A,,,
119000,sp,Convolvulus cantabrica L.,Convolvulus,cantabrica,Convolvulaceae,,x,,
119250,sp,Conyza bonariensis (L.) Cronquist,Conyza,bonariensis,Asteraceae,N,,,
119300,sp,Conyza canadensis (L.) Cronquist,Conyza,canadensis,Asteraceae,N,,,
119320,sp,Conyza floribunda Kunth,Conyza,floribunda,Asteraceae,N,,,
119350,sp,Conyza sumatrensis (Retz.) E. Walker,Conyza,sumatrensis,Asteraceae,N,,,
119400,sp,Corallorhiza trifida Châtel.,Corallorhiza,trifida,Orchidaceae,I,,,
119450,sp,Coreopsis lanceolata L.,Coreopsis,lanceolata,Asteraceae,NC,,,
119500,sp,Coriandrum sativum L.,Coriandrum,sativum,Apiaceae,AC,,,
119600,sp,Cornus mas L.,Cornus,mas,Cornaceae,I,,,
119700,sp,Cornus sanguinea L.,Cornus,sanguinea,Cornaceae,I,,,
119730,subsp,Cornus sanguinea L. subsp. sanguinea,Cornus,sanguinea,Cornaceae,I,,Cornus sanguinea L.,119700
119760,subsp,Cornus sanguinea subsp. australis (C. A. Mey.) Jáv.,Cornus,sanguinea,Cornaceae,N,,Cornus sanguinea L.,119700
119800,sp,Cornus sericea L.,Cornus,sericea,Cornaceae,N,,,
120000,sp,Coronilla coronata L.,Coronilla,coronata,Fabaceae,I,,,
120200,sp,Coronilla minima L.,Coronilla,minima,Fabaceae,I,,,
120400,sp,Coronilla vaginalis Lam.,Coronilla,vaginalis,Fabaceae,I,,,
120600,sp,Coronopus didymus (L.) Sm.,Coronopus,didymus,Brassicaceae,N,,,
120800,sp,Coronopus squamatus (Forssk.) Asch.,Coronopus,squamatus,Brassicaceae,A,,,
120900,sp,Corrigiola litoralis L.,Corrigiola,litoralis,Caryophyllaceae,I,,,
121000,sp,Cortusa matthioli L.,Cortusa,matthioli,Primulaceae,I,,,
121050,sp,Corydalis alba (Mill.) Mansf.,Corydalis,alba,Papaveraceae,N,,,
121100,sp,Corydalis cava (L.) Schweigg. & Körte,Corydalis,cava,Papaveraceae,I,,,
121200,sp,Corydalis intermedia (L.) Mérat,Corydalis,intermedia,Papaveraceae,I,,,
121300,sp,Corydalis lutea (L.) DC.,Corydalis,lutea,Papaveraceae,I,,,
121500,sp,Corydalis solida (L.) Clairv.,Corydalis,solida,Papaveraceae,I,,,
121600,sp,Corylus avellana L.,Corylus,avellana,Betulaceae,I,,,
121610,sp,Corylus colurna L.,Corylus,colurna,Betulaceae,NC,,,
121620,sp,Corylus maxima Mill.,Corylus,maxima,Betulaceae,NC,,,
121660,sp,Cosmos bipinnatus Cav.,Cosmos,bipinnatus,Asteraceae,NC,,,
121700,sp,Cotinus coggygria Scop.,Cotinus,coggygria,Anacardiaceae,I,,,
121720,sp,Cotinus obovatus Raf.,Cotinus,obovatus,Anacardiaceae,NC,,,
121730,sp,Cotoneaster adpressus Bois,Cotoneaster,adpressus,Rosaceae,N,,,
121740,sp,Cotoneaster apiculatus Rehder & E. H. Wilson,Cotoneaster,apiculatus,Rosaceae,NC,,,
121750,sp,Cotoneaster bullatus Bois,Cotoneaster,bullatus,Rosaceae,N,,,
121760,sp,Cotoneaster dammeri C. K. Schneid.,Cotoneaster,dammeri,Rosaceae,N,,,
121765,sp,Cotoneaster dielsianus E. Pritz.,Cotoneaster,dielsianus,Rosaceae,N,,,
121770,sp,Cotoneaster divaricatus Rehder & E. H. Wilson,Cotoneaster,divaricatus,Rosaceae,N,,,
121775,sp,Cotoneaster franchetii Bois,Cotoneaster,franchetii,Rosaceae,N,,,
121780,sp,Cotoneaster horizontalis Decne.,Cotoneaster,horizontalis,Rosaceae,N,,,
121800,sp,Cotoneaster integerrimus Medik.,Cotoneaster,integerrimus,Rosaceae,I,,,
121850,sp,Cotoneaster integrifolius (Roxb.) G. Klotz,Cotoneaster,integrifolius,Rosaceae,NC,,,
121860,sp,Cotoneaster microphyllus Lindl.,Cotoneaster,microphyllus,Rosaceae,NC,,,
121950,sp,Cotoneaster salicifolius Franch.,Cotoneaster,salicifolius,Rosaceae,N,,,
122000,sp,Cotoneaster tomentosus Lindl.,Cotoneaster,tomentosus,Rosaceae,I,,,
122010,hybrid,Cotoneaster ×suecicus G. Klotz,Cotoneaster,×suecicus,Rosaceae,N,,,
122020,hybrid,Cotoneaster ×watereri Exell,Cotoneaster,×watereri,Rosaceae,N,,,
122030,sp,Cotula australis (Spreng.) Hook. f.,Cotula,australis,Asteraceae,N,,,
122060,sp,Crassula helmsii (Kirk) Cockayne,Crassula,helmsii,Crassulaceae,,,,
122130,sp,Crassula tillaea Lest.-Garl.,Crassula,tillaea,Crassulaceae,N,,,
122200,sp,Crataegus laevigata (Poir.) DC.,Crataegus,laevigata,Rosaceae,I,,,
122300,sp,Crataegus lindmanii Hrabětová,Crataegus,lindmanii,Rosaceae,I,,Crataegus monogyna aggr.,122500
122400,sp,Crataegus monogyna Jacq.,Crataegus,monogyna,Rosaceae,I,,Crataegus monogyna aggr.,122500
122500,aggr,Crataegus monogyna aggr.,Crataegus,monogyna,Rosaceae,I,,,
122700,sp,Crataegus rhipidophylla Gand.,Crataegus,rhipidophylla,Rosaceae,I,,Crataegus monogyna aggr.,122500
122800,sp,Crepis albida Vill.,Crepis,albida,Asteraceae,,x,,
122900,sp,Crepis alpestris (Jacq.) Tausch,Crepis,alpestris,Asteraceae,I,,,
123000,sp,Crepis aurea (L.) Cass.,Crepis,aurea,Asteraceae,I,,,
123100,sp,Crepis biennis L.,Crepis,biennis,Asteraceae,I,,,
123300,sp,Crepis bocconei P. D. Sell,Crepis,bocconei,Asteraceae,I,,,
123400,sp,Crepis capillaris Wallr.,Crepis,capillaris,Asteraceae,I,,,
123500,sp,Crepis conyzifolia (Gouan) A. Kern.,Crepis,conyzifolia,Asteraceae,I,,,
123600,sp,Crepis foetida L.,Crepis,foetida,Asteraceae,I,,,
123650,subsp (single),Crepis foetida L. subsp. foetida,Crepis,foetida,Asteraceae,I,,Crepis foetida L.,123600
123700,sp,Crepis froelichiana Froel.,Crepis,froelichiana,Asteraceae,I,,,
123750,subsp (single),Crepis froelichiana Froel. subsp. froelichiana,Crepis,froelichiana,Asteraceae,I,,Crepis froelichiana Froel.,123700
123900,sp,Crepis kerneri Rech. f.,Crepis,kerneri,Asteraceae,I,,,
124000,sp,Crepis mollis (Jacq.) Asch.,Crepis,mollis,Asteraceae,I,,,
124200,sp,Crepis nicaeensis Pers.,Crepis,nicaeensis,Asteraceae,N,,,
124300,sp,Crepis paludosa (L.) Moench,Crepis,paludosa,Asteraceae,I,,,
124500,sp,Crepis praemorsa (L.) Walther,Crepis,praemorsa,Asteraceae,I,,,
124600,sp,Crepis pulchra L.,Crepis,pulchra,Asteraceae,N,,,
124700,sp,Crepis pygmaea L.,Crepis,pygmaea,Asteraceae,I,,,
124800,sp,Crepis pyrenaica (L.) Greuter,Crepis,pyrenaica,Asteraceae,I,,,
124900,sp,Crepis rhaetica Hegetschw.,Crepis,rhaetica,Asteraceae,I,,,
125000,sp,Crepis sancta (L.) Bornm.,Crepis,sancta,Asteraceae,N,,,
125200,sp,Crepis setosa Haller f.,Crepis,setosa,Asteraceae,N,,,
125400,sp,Crepis tectorum L.,Crepis,tectorum,Asteraceae,I,,,
125500,sp,Crepis terglouensis (Hacq.) A. Kern.,Crepis,terglouensis,Asteraceae,I,,,
125550,sp,Crepis vesicaria L.,Crepis,vesicaria,Asteraceae,I/N,,,
