Nr. SISF,Rangstufe,Taxonname,Gattung,Spezies,Familie,Indigenat CH,Grenzgebiet,Ist Teil von: Taxonname,Ist Teil von: Nr. SISF
247100,sp,Luzula multiflora (Ehrh.) Lej.,Luzula,multiflora,Juncaceae,I,,Luzula multiflora aggr.,247150
247150,aggr,Luzula multiflora aggr.,Luzula,multiflora,Juncaceae,I,,,
247300,sp,Luzula nivea (L.) DC.,Luzula,nivea,Juncaceae,I,,,
247450,sp,Luzula pediformis (Chaix) DC.,Luzula,pediformis,Juncaceae,,x,,
247500,sp,Luzula pilosa (L.) Willd.,Luzula,pilosa,Juncaceae,I,,,
247600,sp,Luzula sieberi Tausch,Luzula,sieberi,Juncaceae,I,,Luzula sylvatica aggr.,248400
247800,sp,Luzula spicata (L.) DC.,Luzula,spicata,Juncaceae,I,,,
247900,subsp,Luzula spicata (L.) DC. subsp. spicata,Luzula,spicata,Juncaceae,I,,Luzula spicata (L.) DC.,247800
248000,subsp,Luzula spicata subsp. mutabilis Chrtek & Křísa,Luzula,spicata,Juncaceae,I,,Luzula spicata (L.) DC.,247800
248100,sp,Luzula sudetica (Willd.) Schult.,Luzula,sudetica,Juncaceae,I,,Luzula multiflora aggr.,247150
248300,sp,Luzula sylvatica (Huds.) Gaudin,Luzula,sylvatica,Juncaceae,I,,Luzula sylvatica aggr.,248400
248400,aggr,Luzula sylvatica aggr.,Luzula,sylvatica,Juncaceae,I,,,
249000,sp,Lycium barbarum L.,Lycium,barbarum,Solanaceae,NC,,,
249100,sp,Lycium chinense Mill.,Lycium,chinense,Solanaceae,N,,,
249300,sp,Lycopersicon esculentum Mill.,Lycopersicon,esculentum,Solanaceae,N,,,
249400,sp,Lycopodiella inundata (L.) Holub,Lycopodiella,inundata,Lycopodiaceae,I,,,
249700,sp,Lycopodium annotinum L.,Lycopodium,annotinum,Lycopodiaceae,I,,,
249900,sp,Lycopodium clavatum L.,Lycopodium,clavatum,Lycopodiaceae,I,,,
249950,subsp,Lycopodium clavatum L. subsp. clavatum,Lycopodium,clavatum,Lycopodiaceae,I,,Lycopodium clavatum L.,249900
250000,subsp,Lycopodium clavatum subsp. monostachyon (Grev. & Hook.) Selander,Lycopodium,clavatum,Lycopodiaceae,I,,Lycopodium clavatum L.,249900
250900,sp,Lycopus europaeus L.,Lycopus,europaeus,Lamiaceae,I,,,
251200,sp,Lycopus exaltatus L. f.,Lycopus,exaltatus,Lamiaceae,,x,,
251350,sp,Lysichiton americanus Hultén & H. St. John,Lysichiton,americanus,Araceae,N,,,
251400,sp,Lysimachia nemorum L.,Lysimachia,nemorum,Primulaceae,I,,,
251500,sp,Lysimachia nummularia L.,Lysimachia,nummularia,Primulaceae,I,,,
251600,sp,Lysimachia punctata L.,Lysimachia,punctata,Primulaceae,N,,,
251700,sp,Lysimachia thyrsiflora L.,Lysimachia,thyrsiflora,Primulaceae,I,,,
251800,sp,Lysimachia vulgaris L.,Lysimachia,vulgaris,Primulaceae,I,,,
251900,sp,Lythrum hyssopifolia L.,Lythrum,hyssopifolia,Lythraceae,I,,,
252000,sp,Lythrum portula (L.) D. A. Webb,Lythrum,portula,Lythraceae,I,,,
252100,sp,Lythrum salicaria L.,Lythrum,salicaria,Lythraceae,I,,,
252200,sp,Lythrum virgatum L.,Lythrum,virgatum,Lythraceae,,x,,
252230,sp,Macleaya cordata (Willd.) R. Br.,Macleaya,cordata,Papaveraceae,N,,,
252260,sp,Macleaya microcarpa (Maxim.) Fedde,Macleaya,microcarpa,Papaveraceae,N,,,
252300,sp,Mahonia aquifolium (Pursh) Nutt.,Mahonia,aquifolium,Berberidaceae,N,,,
252350,sp,Mahonia bealei (Fortune) Carrière,Mahonia,bealei,Berberidaceae,N,,,
252400,sp,Maianthemum bifolium (L.) F. W. Schmidt,Maianthemum,bifolium,Asparagaceae,I,,,
252600,sp,Malaxis monophyllos (L.) Sw.,Malaxis,monophyllos,Orchidaceae,I,,,
252850,sp,Malus pumila Mill.,Malus,pumila,Rosaceae,N,,Malus sylvestris aggr.,253000
252900,sp,Malus sylvestris (L.) Mill.,Malus,sylvestris,Rosaceae,I,,Malus sylvestris aggr.,253000
253000,aggr,Malus sylvestris aggr.,Malus,sylvestris,Rosaceae,I/N,,,
253100,sp,Malva alcea L.,Malva,alcea,Malvaceae,I,,,
253300,sp,Malva moschata L.,Malva,moschata,Malvaceae,I,,,
253400,sp,Malva neglecta Wallr.,Malva,neglecta,Malvaceae,A,,,
253430,sp,Malva nicaeensis All.,Malva,nicaeensis,Malvaceae,N,,,
253450,sp,Malva parviflora L.,Malva,parviflora,Malvaceae,N,,,
253480,sp,Malva pusilla Sm.,Malva,pusilla,Malvaceae,N,,,
253500,sp,Malva sylvestris L.,Malva,sylvestris,Malvaceae,I,,,
253600,sp,Malva verticillata L.,Malva,verticillata,Malvaceae,N,,,
253800,sp,Marrubium vulgare L.,Marrubium,vulgare,Lamiaceae,A,,,
253900,sp,Marsilea quadrifolia L.,Marsilea,quadrifolia,Marsileaceae,I,,,
254000,sp,Matricaria chamomilla L.,Matricaria,chamomilla,Asteraceae,I,,,
254100,sp,Matricaria discoidea DC.,Matricaria,discoidea,Asteraceae,N,,,
254500,sp,Matteuccia struthiopteris (L.) Tod.,Matteuccia,struthiopteris,Onocleaceae,I,,,
254700,sp,Matthiola valesiaca Boiss.,Matthiola,valesiaca,Brassicaceae,I,,,
254750,sp,Mazus pumilus (Burm. f.) Steenis,Mazus,pumilus,Mazaceae,N,,,
254800,sp,Meconopsis cambrica (L.) Vig.,Meconopsis,cambrica,Papaveraceae,N,,,
254900,sp,Medicago arabica (L.) Huds.,Medicago,arabica,Fabaceae,N,,,
255000,sp,Medicago carstiensis Wulfen,Medicago,carstiensis,Fabaceae,,x,,
255100,sp,Medicago falcata L.,Medicago,falcata,Fabaceae,I,,,
255300,sp,Medicago lupulina L.,Medicago,lupulina,Fabaceae,A,,,
